exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
6 MPI,0.004072079999991729,0.0,0.003859200000022156,0.003416599999980008,0.005264899999986028,0.004503499999998439,0.0033161999999720138,0.0,0.0,0.0,0.0,0.0
7 MPI,0.011589819999994689,0.0,0.012292500000000928,0.010881100000005972,0.011292599999990216,0.012076299999989715,0.01140659999998661,0.0,0.0,0.0,0.0,0.0
8 MPI,0.05663080000000491,0.0,0.058387600000003204,0.05320540000002438,0.053593100000000504,0.05473860000000741,0.06322929999998905,0.0,0.0,0.0,0.0,0.0
9 MPI,0.27543203999998694,0.0,0.2526136999999835,0.26400360000002365,0.2847907999999961,0.2855917999999633,0.2901602999999682,0.0,0.0,0.0,0.0,0.0
10 MPI,1.430765839999981,0.0,1.4627411999999822,1.3820874000000458,1.3937346999999818,1.4414387999999008,1.473827099999994,0.0,0.0,0.0,0.0,0.0
11 MPI,8.553491679999956,0.0,8.541369499999973,8.363959999999906,8.593620399999963,8.482353699999976,8.786154799999963,0.0,0.0,0.0,0.0,0.0
12 MPI,67.74200118000002,0.0,68.4944276,67.784132,67.79052260000003,67.41773330000001,67.22319040000002,0.0,0.0,0.0,0.0,0.0
13 MPI,496.41218030000016,0.0,517.6554211999999,517.5007888,479.12018910000006,487.95682770000076,479.8276747,0.0,0.0,0.0,0.0,0.0
6 SEC,0.039237660000003415,0.0,0.04030110000002196,0.03646009999999933,0.04107270000002927,0.0390924999999811,0.03926189999998542,0.0,0.0,0.0,0.0,0.0
7 SEC,0.07103417999999237,0.0,0.07010480000002417,0.06862460000002102,0.0704372999999805,0.07060179999996308,0.07540239999997311,0.0,0.0,0.0,0.0,0.0
8 SEC,0.21884072000001425,0.0,0.21913010000002942,0.21491470000000845,0.2209871000000021,0.21858439999999746,0.2205873000000338,0.0,0.0,0.0,0.0,0.0
9 SEC,0.930323199999998,0.0,0.9257238000000143,0.9346907999999985,0.9220518999999854,0.9392482000000086,0.9299012999999832,0.0,0.0,0.0,0.0,0.0
10 SEC,4.519152300000019,0.0,4.5037084000000505,4.5499567000000525,4.48310790000005,4.514588499999945,4.544399999999996,0.0,0.0,0.0,0.0,0.0
11 SEC,24.301122080000006,0.0,23.887254999999982,24.24993710000001,24.76453820000006,24.085939199999984,24.517940899999985,0.0,0.0,0.0,0.0,0.0
12 SEC,144.77896241999994,0.0,145.87871310000003,146.42261699999995,144.7982645999998,142.61524829999985,144.1799691000001,0.0,0.0,0.0,0.0,0.0
13 SEC,935.8519822599999,0.0,949.3433908000002,936.3049538000005,947.3143125999995,918.8400329999995,927.4572211000004,0.0,0.0,0.0,0.0,0.0
