exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
6 MPI,0.0060945400000491645,0.0,0.006565900000168767,0.00633960000004663,0.0066001000000142085,0.0063433999998778745,0.004623700000138342,0.0,0.0,0.0,0.0,0.0
7 MPI,0.018035320000035427,0.0,0.01795780000020386,0.023211100000025908,0.01921649999985675,0.01461990000007063,0.015171300000019983,0.0,0.0,0.0,0.0,0.0
8 MPI,0.07152580000010858,0.0,0.07345130000021527,0.07852210000010018,0.06432989999984784,0.07644090000030701,0.06488480000007257,0.0,0.0,0.0,0.0,0.0
9 MPI,0.3268312399998649,0.0,0.33402239999986705,0.3270052999996551,0.3139679000000797,0.33822779999991326,0.3209327999998095,0.0,0.0,0.0,0.0,0.0
10 MPI,1.6175163199999587,0.0,1.6173737999997684,1.6075572999998258,1.6286697000000459,1.611642800000027,1.622338000000127,0.0,0.0,0.0,0.0,0.0
11 MPI,8.505986960000063,0.0,9.297027900000103,8.236793600000055,8.282870500000172,8.335452799999985,8.377790000000005,0.0,0.0,0.0,0.0,0.0
12 MPI,68.59344419999998,0.0,67.8523009999999,69.91843539999991,69.59792549999975,67.77578730000005,67.82277180000028,0.0,0.0,0.0,0.0,0.0
13 MPI,483.29299527999973,0.0,486.59332899999936,481.1921249999996,483.77464080000027,482.1871343999992,482.7177472000003,0.0,0.0,0.0,0.0,0.0
6 SEC,0.05924390000000131,0.0,0.07380689999990864,0.05381699999998091,0.05687660000012329,0.056498200000078214,0.05522079999991547,0.0,0.0,0.0,0.0,0.0
7 SEC,0.09642757999999958,0.0,0.10620689999996102,0.11036190000004353,0.10370580000017071,0.08078359999990425,0.08107969999991838,0.0,0.0,0.0,0.0,0.0
8 SEC,0.2516637799999444,0.0,0.2479614999997466,0.24410130000023855,0.25791110000000117,0.26131219999979294,0.24703279999994265,0.0,0.0,0.0,0.0,0.0
9 SEC,1.1046824399999422,0.0,1.0647315999999591,1.1281236999998328,1.0789283999997679,1.1373421000002963,1.1142863999998553,0.0,0.0,0.0,0.0,0.0
10 SEC,5.247751699999844,0.0,5.360347199999978,5.288560799999686,5.229555399999754,5.15091399999983,5.209381099999973,0.0,0.0,0.0,0.0,0.0
11 SEC,24.59707298000003,0.0,26.21908349999967,24.779151100000036,24.0982340999999,23.85437690000026,24.034519300000284,0.0,0.0,0.0,0.0,0.0
12 SEC,151.27589057999995,0.0,150.6361783999996,172.0438363999997,147.56379700000025,143.55038319999994,142.58525790000022,0.0,0.0,0.0,0.0,0.0
13 SEC,936.7132023200004,0.0,952.2177126000006,926.6533460999999,945.0832726000008,936.3123539999997,923.2993263000008,0.0,0.0,0.0,0.0,0.0
